Effective Date,,ABC Intl Hldg,ABN AMRO,AIB,ALLIANCE BERNSTE,AmInvestment,Amundi AM,ANZ Bank,Bank NZ,Bank of China,Bank Permata,Barclays,BayernLB,BBVA,Berenberg,Bidv Securities,Bkhaus Lampe,BMO,BNP Paribas,BOC China,BOCIL,BofAML,BOQ,Brown Brothers,CA CIB,CaixaBank,Capital Econ,Capital Secs,Capitalstars,CBA Ltd,CDBS,CEBM,Centrum Capital,CGB,Changjiang Secs,Chengtong Securi,China Securities,ChinaMrchntBank,ChinaReform Sec,CIBC,CINDA SECURITIES,CITIC Secs Intl,CITIC Securities,Citigroup,CN MERCHANT,Commerzbank UK,Continuum Econ,Contributors,Credit Suisse,D n B,Daiwa Cap Mkts,Danske Bk,DBFI,DBS Bank,DekaBank,Desjardins Group,Deutsche Bank,DZ Bank,EBSCN,Edelweiss,Emirates NBD,Eurobank Hldgs,Federal Bank,Founder Fincg,Founder Secs,Generali Investments,Goldman Sachs,Handelsbanken,HC Securities,HDFC Bank,Helaba,Hiltop,HSBC Hldg,HT Securities,HTSC,Hwabao Trust,ICICI Bank,IG Markets,IHS Global,India Forex,Industrial Sec,Industril Bank,Informa Global,ING Fin Mkts,Intesa Sanpaolo,Inventure,Investec,J. Safra Sarasin,JP Morgan,Julius Baer,Jyske Bank,Kasikornbank,KBC Economics,Krung Thai Bank,LBBW,Lianxun Secs,Lloyds Bank UK,Macquarie Group,Maplecroft.Net,Maybank Inv Bnk,Minsheng Sec,Mizuho Bank Ltd,Mizuho Secs,Monex Europe,Moody's Analytics,Morgan Stanley,MUFG,NAB,Natixis,Natl Bk Canada,NatWest Markets,Nomura,NORD Landbk,Nordea,Northern Trust,Nykredit Markets,OCBC,Pantheon,Piramal,PNC Finl Svc,Postbank,Punjab Natl Bank,Rabobank,Raiffeisen Intl,RBC,RBL Bank,Refinitiv - IFR Markets,Renaissance,RGE,RMB,Samsung Futures,Saxo Bank,Schroders,Scotiabank,SCS,Shanghai Secs,Shinhan Bank,Siam Comm Bank,Sinolink Secs,Skand Ensk Bank,Societe Generale,St George Bank,Standard Bk,Standard Chartered,Swedbank AB,SWSC,TC Bank,TD,TD Securities (USA) LLC,TMB Bank,UBS,UCO Bank,Uni Credit,Union Bank PH,UOB,Vadilal Forex,VTB-Capital,Wells Fargo,Westpac,Yingda Secs,ZHESHANG SECS,ZKB
2019/9/30,43,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,-0.11,#N/A,#N/A,#N/A,-0.15,-0.25,0.03,#N/A,#N/A,#N/A,-0.32,-0.12,-0.3,#N/A,-0.08,#N/A,#N/A,#N/A,#N/A,-0.4,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,-0.25,-0.2,#N/A,#N/A,#N/A,-0.28,#N/A,-0.06,-0.25,#N/A,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,-0.3,#N/A,-0.1,-0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,-0.28,-0.1,#N/A,#N/A,-0.1,-0.02,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,-0.1,#N/A,#N/A,0.27,-0.35,-0.52,#N/A,-0.2,#N/A,#N/A,#N/A,-0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,-0.1,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,-0.14,-0.3,-0.75,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,-0.19,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,#N/A,#N/A,#N/A
2019/8/30,44,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,0.23,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,#N/A,#N/A,#N/A,-0.08,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,-0.35,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,-0.17,-0.02,-0.25,#N/A,#N/A,0.1,#N/A,-0.55,#N/A,0.29,#N/A,-0.1,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,0.25,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,0.12,-0.36,0.19,-0.13,-0.17,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,-0.22,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,0,#N/A,#N/A,#N/A,0.32,#N/A,#N/A,#N/A,-0.23,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.04,#N/A,#N/A,#N/A,#N/A,0.23,#N/A,#N/A,#N/A,-0.17
2019/7/31,45,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,0.34,#N/A,#N/A,#N/A,#N/A,0,0.26,#N/A,#N/A,#N/A,-0.06,#N/A,-0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,0.41,-0.2,-0.02,0.3,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,0.4,#N/A,0,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,0.3,#N/A,#N/A,0.05,#N/A,#N/A,0.15,#N/A,#N/A,0.08,#N/A,0.28,0.1,#N/A,#N/A,0.62,-0.25,0.18,0.2,-0.16,0.47,#N/A,-0.3,#N/A,#N/A,#N/A,-0.06,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,0.29,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,0.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.19,#N/A,#N/A,#N/A,#N/A,0.38,#N/A,#N/A,#N/A,#N/A
2019/6/28,46,#N/A,0.2,0.15,#N/A,#N/A,#N/A,0.35,0.97,#N/A,0.16,#N/A,0.4,0.47,#N/A,#N/A,#N/A,0.37,0.23,#N/A,#N/A,0.25,#N/A,#N/A,0.7,#N/A,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,#N/A,0,0.3,#N/A,#N/A,0.5,#N/A,0.15,#N/A,0.6,#N/A,0.55,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,0.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,0.55,#N/A,#N/A,#N/A,#N/A,0.53,0.51,0.35,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,0.33,#N/A,0.45,#N/A,#N/A,#N/A,0.64,0.08,0.97,0.4,0.33,#N/A,#N/A,0.75,0.6,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,0.2,#N/A,0.3,#N/A,#N/A,#N/A,0.87,0.6,#N/A,#N/A,0.59,0.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,0.45,#N/A,#N/A,0.64,#N/A,#N/A,#N/A,0.3
2019/5/31,47,#N/A,0.24,#N/A,#N/A,#N/A,#N/A,0.54,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,#N/A,0.5,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.38,0.76,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,0.57,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,0.86,0.5,#N/A,0.65,0.5,#N/A,#N/A,#N/A,0.61,#N/A,#N/A,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,0.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,0.5,#N/A,0.58,#N/A,#N/A,#N/A,0.83,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8,#N/A,#N/A,#N/A,#N/A,0.91,#N/A,#N/A,#N/A,0.7
2019/4/30,48,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,0.61,#N/A,#N/A,#N/A,#N/A,0.5,0.44,#N/A,#N/A,#N/A,0.83,0.7,0.68,#N/A,0.25,#N/A,#N/A,#N/A,#N/A,0.85,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,0.59,#N/A,0.32,#N/A,#N/A,#N/A,0.3,#N/A,0.8,#N/A,#N/A,#N/A,0.6,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9,#N/A,#N/A,#N/A,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,0.88,#N/A,#N/A,#N/A,#N/A,#N/A,0.86,0.59,#N/A,#N/A,#N/A,0.12,#N/A,0.18,#N/A,#N/A,1.22,#N/A,#N/A,#N/A,#N/A,#N/A,0.23,0.52,#N/A,#N/A,0.69,0.53,0.75,0.95,0.67,#N/A,#N/A,0.77,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,0.48,#N/A,#N/A,0.35,#N/A,#N/A,#N/A,#N/A,0.84,0.88,0.5,#N/A,0.53,#N/A,#N/A,#N/A,#N/A,0.64,#N/A,#N/A,#N/A,#N/A,0.8,#N/A,#N/A,#N/A,0.6
2019/3/29,49,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,0.61,#N/A,#N/A,#N/A,0.71,0.45,0.43,#N/A,#N/A,#N/A,0.82,0.7,0.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,0.59,#N/A,0.32,0.87,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,#N/A,0.6,0.65,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,1.2,#N/A,#N/A,#N/A,#N/A,0.87,0.76,0.39,#N/A,#N/A,#N/A,#N/A,#N/A,0.19,#N/A,#N/A,1.12,#N/A,0.46,#N/A,#N/A,#N/A,0.22,#N/A,0.95,#N/A,0.81,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,0.5,#N/A,#N/A,0.3,0.85,0.44,#N/A,#N/A,0.83,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,#N/A,0.53,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,0.6
2019/2/28,50,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.43,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A,0.7,#N/A,#N/A,0.13,#N/A,#N/A,0.34,#N/A,0.4,#N/A,#N/A,#N/A,0.65,#N/A,#N/A,0.47,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.54,#N/A,0.3,#N/A,#N/A,#N/A,0.3,#N/A,0.8,#N/A,0.35,#N/A,0.55,#N/A,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,1,#N/A,#N/A,#N/A,#N/A,#N/A,0.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.27,0.43,0.5,0.62,0.75,#N/A,#N/A,0.85,#N/A,#N/A,#N/A,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,0.3,#N/A,#N/A,0.2,0.47,#N/A,#N/A,#N/A,0.77,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.64,#N/A,#N/A,#N/A,#N/A,0.61,#N/A,#N/A,#N/A,0.53
2019/1/31,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.29,#N/A,#N/A,#N/A,#N/A,-0.05,0.16,#N/A,#N/A,#N/A,0.69,#N/A,0.7,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.48,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,0.28,0.5,0.25,0.49,#N/A,#N/A,0.1,#N/A,-0.05,#N/A,0.09,#N/A,0.55,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,0.2,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,0.38,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,-0.18,#N/A,#N/A,0.8,#N/A,#N/A,0.2,#N/A,#N/A,-0.13,#N/A,#N/A,0.34,0.68,#N/A,-0.1,0.85,#N/A,#N/A,#N/A,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,-0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,0.35,#N/A,#N/A,0.05,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.64,#N/A,#N/A,#N/A,#N/A,0.37,#N/A,#N/A,#N/A,-0.1
2018/12/31,52,#N/A,-0.15,0.15,#N/A,#N/A,#N/A,0,-0.1,#N/A,#N/A,#N/A,-0.1,-0.35,#N/A,#N/A,#N/A,0.16,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,-0.1,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.09,#N/A,0,-0.2,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,-0.11,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,0.7,#N/A,#N/A,#N/A,#N/A,-0.15,-0.1,-0.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,#N/A,#N/A,#N/A,#N/A,#N/A,-0.18,-0.05,-0.1,#N/A,0.06,#N/A,-0.48,-0.05,-0.1,#N/A,#N/A,0.33,#N/A,#N/A,-0.12,#N/A,#N/A,-0.75,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.65,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.23,#N/A,#N/A,-0.27,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.33,#N/A,#N/A,#N/A,#N/A,-0.04,#N/A,#N/A,#N/A,#N/A
2018/11/30,53,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.35,-0.35,#N/A,#N/A,#N/A,-0.48,-0.45,0,#N/A,-0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,-0.28,#N/A,#N/A,#N/A,-0.17,#N/A,#N/A,-0.51,#N/A,#N/A,-0.5,#N/A,-0.45,#N/A,#N/A,#N/A,-0.36,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,-0.36,-0.41,#N/A,#N/A,#N/A,#N/A,#N/A,-0.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.51,-0.43,-0.44,-0.28,-0.19,#N/A,#N/A,-0.17,#N/A,#N/A,#N/A,-0.07,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,-0.09,-0.24,#N/A,#N/A,-0.27,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,-0.24,#N/A,#N/A,#N/A,#N/A
2018/10/31,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.47,#N/A,#N/A,#N/A,#N/A,-0.35,-0.45,#N/A,#N/A,#N/A,#N/A,-0.85,-0.5,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,0,-0.33,#N/A,#N/A,-0.46,#N/A,#N/A,#N/A,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.19,-0.25,-0.22,#N/A,#N/A,#N/A,-0.55,#N/A,-0.45,#N/A,-0.28,#N/A,-0.28,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.13,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,-0.62,-0.46,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,#N/A,-0.43,#N/A,#N/A,#N/A,#N/A,#N/A,-0.48,-0.73,#N/A,#N/A,-0.31,#N/A,#N/A,-0.2,-0.27,#N/A,#N/A,-0.38,#N/A,#N/A,-0.52,#N/A,#N/A,-1.05,#N/A,#N/A,#N/A,-0.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,-0.28,-0.4,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,-0.24,-0.28,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
